Number of unique subjects: 48,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12]
[0] http://creativecommons.org/ns#attributionName,1,-,1,0,0,0,0,1,1,1,0,0,0,1
[1] http://creativecommons.org/ns#attributionURL,1,-,-,0,0,0,0,1,1,1,0,0,0,1
[2] http://data.totl.net/game/asciiSymbol,2,-,-,-,2,0,2,0,0,0,2,0,2,0
[3] http://data.totl.net/game/belongsTo,2,-,-,-,-,0,2,0,0,0,2,0,2,0
[4] http://data.totl.net/game/initialState,1,-,-,-,-,-,0,0,0,0,1,0,1,0
[5] http://data.totl.net/game/unicodeSymbol,2,-,-,-,-,-,-,0,0,0,2,0,2,0
[6] http://purl.org/dc/terms/creator,1,-,-,-,-,-,-,-,1,1,0,0,0,1
[7] http://purl.org/dc/terms/license,1,-,-,-,-,-,-,-,-,1,0,0,0,1
[8] http://purl.org/dc/terms/title,1,-,-,-,-,-,-,-,-,-,0,0,0,1
[9] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,47,-,-,-,-,-,-,-,-,-,-,42,47,0
[10] http://www.w3.org/2000/01/rdf-schema#comment,42,-,-,-,-,-,-,-,-,-,-,-,42,0
[11] http://www.w3.org/2000/01/rdf-schema#label,47,-,-,-,-,-,-,-,-,-,-,-,-,0
[12] http://xmlns.com/foaf/0.1/primaryTopic,1,-,-,-,-,-,-,-,-,-,-,-,-,-
