Number of unique subjects: 3,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13]
[0] http://purl.org/dc/terms/description,2,-,1,1,1,2,1,2,0,1,1,0,1,2,2
[1] http://purl.org/dc/terms/license,1,-,-,1,1,1,1,1,0,1,1,0,1,1,1
[2] http://purl.org/dc/terms/publisher,1,-,-,-,1,1,1,1,0,1,1,0,1,1,1
[3] http://purl.org/dc/terms/subject,1,-,-,-,-,1,1,1,0,1,1,0,1,1,1
[4] http://purl.org/dc/terms/title,2,-,-,-,-,-,1,2,0,1,1,0,1,2,2
[5] http://rdfs.org/ns/void#dataDump,1,-,-,-,-,-,-,1,0,1,1,0,1,1,1
[6] http://rdfs.org/ns/void#exampleResource,2,-,-,-,-,-,-,-,0,1,1,0,1,2,2
[7] http://rdfs.org/ns/void#linkPredicate,1,-,-,-,-,-,-,-,-,0,0,1,0,1,0
[8] http://rdfs.org/ns/void#sparqlEndpoint,1,-,-,-,-,-,-,-,-,-,1,0,1,1,1
[9] http://rdfs.org/ns/void#subset,1,-,-,-,-,-,-,-,-,-,-,0,1,1,1
[10] http://rdfs.org/ns/void#target,2,-,-,-,-,-,-,-,-,-,-,-,0,1,0
[11] http://rdfs.org/ns/void#vocabulary,5,-,-,-,-,-,-,-,-,-,-,-,-,1,1
[12] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2
[13] http://xmlns.com/foaf/0.1/homepage,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
